Reg_Code,Reg_Name,Dis_Code,Dis_Name,Ward_Code,Ward_Name,Division,PCode,total_both,total_male,total_fema,rural_both,rural_male,urban_both,urban_male,urban_fema,rural_fema,area_km2,status,ward_type,Pop_Den
25,Geita,01,Geita,181,Kamena,,2501181,21700,10702,10998,21700,10702,0,0,0,10998,156.302745,1,Rural,139
25,Geita,01,Geita,191,Nyamalimbe,,2501191,15761,7895,7866,15761,7895,0,0,0,7866,131.764549,1,Rural,120
25,Geita,01,Geita,201,Bujula,,2501201,9223,4647,4576,9223,4647,0,0,0,4576,82.837074,1,Rural,111
25,Geita,01,Geita,211,Bukoli,,2501211,16345,8071,8274,16345,8071,0,0,0,8274,113.284591,1,Rural,144
25,Geita,01,Geita,221,Butobela,,2501221,11809,6036,5773,11809,6036,0,0,0,5773,74.415150,1,Rural,159
25,Geita,01,Geita,231,Nyarugusu,,2501231,40588,20567,20021,40588,20567,0,0,0,20021,179.758802,1,Rural,226
25,Geita,01,Geita,241,Nyakamwaga,,2501241,19618,9897,9721,19618,9897,0,0,0,9721,170.779976,1,Rural,115
25,Geita,01,Geita,251,Lwamgasa,,2501251,29148,14479,14669,29148,14479,0,0,0,14669,217.614611,1,Rural,134
25,Geita,01,Geita,261,Kaseme,,2501261,24957,12404,12553,24957,12404,0,0,0,12553,195.664940,1,Rural,128
25,Geita,01,Geita,271,Busanda,,2501271,15490,7541,7949,15490,7541,0,0,0,7949,137.408455,1,Rural,113
25,Geita,01,Geita,283,Katoro,,2501283,70317,33553,36764,26174,12586,44143,20967,23176,13588,107.033940,3,Mixed,657
25,Geita,01,Geita,291,Nyamigota,,2501291,16515,8076,8439,16515,8076,0,0,0,8439,166.485097,1,Rural,99
25,Geita,01,Geita,301,Nyakagomba,,2501301,19206,9689,9517,19206,9689,0,0,0,9517,152.601568,1,Rural,126
25,Geita,01,Geita,311,Nyachiluluma,,2501311,19898,10128,9770,19898,10128,0,0,0,9770,118.481196,1,Rural,168
25,Geita,01,Geita,321,Bukondo,,2501321,13371,6871,6500,13371,6871,0,0,0,6500,75.363388,1,Rural,177
25,Geita,01,Geita,331,Chigunga,,2501331,27456,13640,13816,27456,13640,0,0,0,13816,128.822354,1,Rural,213
25,Geita,01,Geita,341,Mtakuja,,2501341,25227,12963,12264,25227,12963,0,0,0,12264,237.223749,1,Rural,106
